property,model_value,model_location,real_world_value,real_world_source,agreement,retrieved
coolant density kg/m3,1071,cluster_plant_v2/parameters.py COOLANT_DENSITY_KG_M3,"1072.4@5C / 1067.5@15C / 1062.2@25C / 1056.5@35C (CoolProp INCOMP::MEG 50wt%)",CoolProp incompressible library (Melinder correlations) + ESS datasheets specify 50% EG coolant,within 1.4%,2026-09-01
coolant specific heat J/(kg K),3391,cluster_plant_v2/parameters.py COOLANT_SPECIFIC_HEAT_J_KG_K,"3231@5C / 3285@15C / 3338@25C / 3388@35C (CoolProp INCOMP::MEG 50wt%)",CoolProp incompressible library (Melinder correlations),within 1.6% (equals ~35C value),2026-09-01
280Ah LFP cell mass kg,not modeled explicitly (via thermal mass),,"5.25-5.6 kg (CATL/EVE LF280K product listings)",https://chinese.alibaba.com/product-detail/LF280K-battery-280Ah-lifepo4-Battery-Cells-11000019278126.html,n/a,2026-09-01
280Ah LFP cell specific heat J/(kg K),not modeled explicitly,,"1000-1200 typical; measured 1073.8 (volume-averaged prismatic cell)",https://www.sohu.com/a/810688591_121124362 ; https://m.sohu.com/a/917000075_121124362,n/a,2026-09-01
280Ah LFP cell density kg/m3,not modeled explicitly,,"2100-2300 (LFP prismatic); measured 2280",https://www.sohu.com/a/810688591_121124362,n/a,2026-09-01
280Ah LFP thermal conductivity in-plane W/(m K),not modeled explicitly (lumped ROM),,"23-25 (measured TCA 2SC-080 two-state method)",https://news.iresearch.cn/yx/2024/08/506766.shtml ; refs Kovachev 2021 Batteries 7:42 and Cui Xifeng 2019,n/a,2026-09-01
280Ah LFP thermal conductivity through-plane W/(m K),not modeled explicitly,,"4.6-5.2 (measured; SOC-independent)",https://news.iresearch.cn/yx/2024/08/506766.shtml,n/a,2026-09-01
cell thermal mass J/K,4747,pack_rom.py _DEFAULT_CONFIG cell_thermal_mass,"implied 5638-6014 (5.25-5.6 kg x 1073.8 J/kg/K)",derived from the two rows above,model is 16-21% low,2026-09-01
condenser fan reference,NOMINAL_AIR_MASS_FLOW 6.5 kg/s,refrigeration.py,"SPAL axial fan diameter 305 mm speed 800-4000 rpm power band 0-0.5 kW",Energies 2020 13:6012 (citation preserved in legacy single_pack_plant/plant/thermal_system.py L94-96; dropped in cluster rewrite),fan rated power anchored but air mass flow itself is a sizing choice,2026-09-01
inter-cell conductance W/K,0.5,pack_rom.py _DEFAULT_CONFIG k_intercell,no located literature value for the specific pack geometry,,engineering assumption,2026-09-01
cell-to-plate conductance W/K/cell,10.0,pack_rom.py _DEFAULT_CONFIG h_plate_convection,"implied pack-level 520 W/K vs cold-plate UA 691-1006 W/K from 8D audit",audit section 9 consistent order of magnitude,order-of-magnitude consistent,2026-09-01
air convection edge W/K,0.1,pack_rom.py _DEFAULT_CONFIG h_air_convection_edge,no located measurement,,engineering assumption,2026-09-01
HPPC R/C tables,frozen hppc_params.json,model_data/hppc_params.json,"user's own HPPC experiment on the 280 Ah cell (confirmed by user 2026-09-01)",user statement; measured data,VERIFIED (first-party measurement),2026-09-01
flow exponent 0.8 (condenser air/refrigerant side),0.8,refrigeration.py condenser h terms,"Dittus-Boelter turbulent tube correlation Nu ~ Re^0.8 i.e. h ~ mdot^0.8",standard convective heat transfer literature,method-consistent,2026-09-01
evaporator coolant flow exponent,1.2,refrigeration.py evaporator_coolant_h,"net effective conductance G*(1-exp(-UA/G)) scales ~ mdot^1.00 over 0.5-1.5x flow; heat-current local slope 0.91 at nominal (alpha=kA/G=3.79)",Chen heat-current resistance R=1/(G(1-exp(-kA/G))) Int J Heat Mass Transfer 108 (2017) 712-720,consistent as lumped representation,2026-09-01
evaporator time constant s,45,parameters.py EVAPORATOR_TIME_CONSTANT_S,"wall-only heat-current tau = C_w*Rp = 0.33-0.56 s for 30-50 kg Al wall incl. fluid inventory (Rp=1.23e-4 K/W from kA_c=15400 kA_r=77000 W/K); 45 s therefore represents effective refrigerant-side charge/pressure dynamics not wall conduction",transient heat current model formula tau=C_w*R_c*R_h/(R_c+R_h) He et al 2019 IJHMT 145:118767,wall fast (quasi-steady cycle justified); 45 s remains a tuning value for refrigerant-side dynamics,2026-09-01
condenser NTU check,NTU 0.84 eps 0.57,refrigeration.py condenser effectiveness,"kA_air 6400 / kA_ref 40000 W/K vs G_air 6532 W/K at 6.5 kg/s fan nominal",derived from model constants,air side is the condenser bottleneck as assumed,2026-09-01
cluster manifold topology,reversed-return (homoverse) parallel header,hydraulics.py ParallelHeaderHydraulicNetwork,"container BESS industry uses parallel branches with equal-path-resistance (reversed return) layouts; direct return explicitly identified as causing flow maldistribution (CN202420485570A); equal-pressure-loss design via orifice tees is standard practice; U/Z-type manifold studies (J Energy Storage 2026) confirm maldistribution up to 47-58% without optimization","CN patent 202420485570A; liquid-cooled prefab cabin coolant loop design (ne21.com 2024); U/Z-type BTMS topology optimization (Chungnam Natl Univ 2026)",model topology consistent with industry practice; docstring corrected 2026-09-01,2026-09-01
